"City","Description","References"
"Paris","Paris' monument-lined boulevards, museums, classical bistros and boutiques are enhanced by a new wave of multimedia galleries, creative wine bars, design shops and tech start-ups.\n\nIconic Architecture\n\nThe cloud-piercing, wrought-iron Eiffel Tower, broad Arc de Triomphe guarding the glamorous avenue des Champs-Élysées, flying buttressed Notre Dame cathedral, lamplit bridges spanning the Seine and art nouveau cafes' wicker-chair-lined terraces are enduring Parisian emblems. Despite initial appearances, however, Paris’ cityscape isn’t static: there are some stunning modern and contemporary icons, too, from the inside-out, industrial-style Centre Pompidou to the mur végétal (vertical garden) gracing the Musée du Quai Branly, the glass sails of the Fondation Louis Vuitton contemporary-art centre, and the gleaming steel egg-shaped concert venue La Seine Musicale.\n\nGlorious Food\n\nFrance’s reputation for its cuisine (the French word for ‘kitchen’) precedes it, and whether you seek a cosy neighbourhood bistro or a triple-Michelin-starred temple to gastronomy, you'll find that every establishment prides itself on exquisite preparation and presentation of quality produce, invariably served with wine. Enticing patisseries, boulangeries (bakeries), fromageries (cheese shops) and crowded, colourful street markets are perfect for putting together a picnic to take to the city’s beautiful parks and gardens. A host of culinary courses – held anywhere from home kitchens to the world’s most prestigious cookery schools – offers instruction for all schedules, abilities and budgets.\n\nStylish Shopping\n\nThe word 'Parisian' is synonymous with style, and fashion shopping is the city’s forte. Paris remains at the forefront of international trends, and browsing emerging and established designer boutiques and flagship haute couture houses is a quintessential part of any visit. You’ll also find hip concept and homewares shops, and resplendent art nouveau department stores, along with a trove of vintage shops and flea markets, atmospheric bookshops and dark-green bouquiniste stalls stocking secondhand titles along the riverbanks, adorable children’s wear and toy shops, art and antique dealers, venerable establishments selling professional cookware, and, of course, gourmet-food and wine shops galore.\n\nArtistic Treasures\n\nWith an illustrious artistic pedigree – Renoir, Rodin, Picasso, Monet, Manet, Dalí and Van Gogh are but a few of the masters who have lived and worked here over the years – Paris is one of the world's great art repositories, harbouring treasures from antiquity onwards. In addition to big hitters like the incomparable Louvre, the Musée d’Orsay’s exceptional impressionist collection, and the Centre Pompidou’s cache of modern and contemporary art, scores of smaller museums showcase every imaginable genre, a diverse range of venues mount major exhibitions through to offbeat installations, and there's also the city's vibrant street art.","https://www.lonelyplanet.com/france/paris"
"Lyon","Commanding a strategic spot at the confluence of the Rhône and the Saône Rivers, Lyon has been luring people ever since the Romans named it Lugdunum in 43 BC. Commercial, industrial and banking powerhouse for the past 500 years, Lyon is France's third-largest city, and offers today's urban explorers a wealth of enticing experiences.\n\nOutstanding museums, a dynamic cultural life, busy clubbing and drinking scenes, a thriving university and fantastic shopping lend the city a distinctly sophisticated air, while adventurous gourmets can indulge in their wildest gastronomic fantasies. Don't leave the city without sampling some Lyonnais specialities in a bouchon – the quintessential Lyon experience.","https://www.lonelyplanet.com/france/burgundy-and-the-rhone/lyon"
"Nice","With its mix of real-city grit, old-world opulence, year-round sunshine, vibrant street life and stunning seaside location, no place in France compares with Nice.\n\nMediterranean Magnetism\n\nBefore everything else, there was the sea, and the Mediterranean climate – the twin factors that made Nice a tourist magnet as early as the 1700s. Look around and you’ll find the same elemental attractions that drew Europe's belle-époque aristocrats to promenade along the waterfront in horse-drawn carriages. Even now, nothing compares to the simple joy of a balmy beach day interspersed with a spot of people-watching astride the Promenade des Anglais' famous blue chairs. Whether you're skating, kayaking, swimming, sprawled on a beach lounger or transfixed by sunset over the ever-present Med, it's all still happening by the water.\n\nThe Italian Influence\n\nFor any lover of French and Italian culture, Nice is the perfect hybrid. Long affiliated with Piedmont and Liguria to the east, Savoy to the north and Sardinia to the south, this city only joined France in 1860 and has always kept one foot in Italy. The Italian influence remains palpable everywhere, in Vieux Nice's tall-shuttered, ochre-hued buildings that look airlifted straight in from Portofino, in the fresh pasta shops on every corner and even in the football cheer Issa Nissa! (Go Nice!), shouted in the local Nissart dialect that’s been coloured by Ligurian Italian as much as Occitan French.\n\nCity of Artists\n\nThe Côte d'Azur has ensnared many a visitor with the beauty of its light. Not least Henri Matisse, who came here to convalesce from bronchitis. When the sun finally emerged after a month of wintry drizzle, Matisse was so smitten that he made Nice his home for the next 37 years. Chagall, Picasso and Renoir also fell in love with this place, and Nice was later home to the influential avant-garde École de Nice. Art museums abound throughout the region, but Nice's three superstars – the Musées Matisse, Chagall and d’Art Moderne – are reason enough to justify an aesthetic pilgrimage here.\n\nEating Niçois-Style\n\nBring your appetite when you come to Nice. This city is meant for epicures. It all starts at Vieux Nice’s Saleya market, where small producers from the Alpine foothills bring in a bounty of fresh produce, and top chefs from surrounding restaurants shop right beside tourists. The city celebrates its uniqueness with street snacks like socca (chickpea pancakes), pissaladière (caramelised onion tart) or tourte de blettes (chard, raisin and pine nut pie), while its countless cosy bistros serve everything from hearty Provençal beef stew to true salade niçoise to pasta with pistou, and from fresh lemon tart to vegan cheesecake.","https://www.lonelyplanet.com/france/nice"
"Marseille","Grit and grandeur coexist seamlessly in Marseille, an exuberantly multicultural port city with a pedigree stretching back to classical Greece and a fair claim to the mantle of France's second city. Once seen as somewhat dirty and dangerous, and lacking the glamour of Cannes or St-Tropez, this black sheep of the Provençal coastline has blossomed in cultural confidence since its 2013 stint as the European Capital of Culture. The addition of a brace of swanky new museums is just the outward sign of an optimism and self-belief that's almost palpable.\n\nMarseille's heart is the vibrant Vieux Port (old port), mast-to-mast with yachts and pleasure boats. Just uphill is the ancient Le Panier neighbourhood, the oldest section of the city. Also worth an explore is the République quarter, with its stylish boutiques and Haussmannian buildings, and the Joliette area, centred on Marseille’s totemic Cathédrale de Marseille Notre Dame de la Major.","https://www.lonelyplanet.com/france/provence/marseille"
"Bordeaux","An intoxicating cocktail of 18th-century savoir-faire, millennial hi-tech and urban street life, France's sixth largest city is among Europe's most exciting and gutsy players.\n\nArt & Architecture\n\nThis is the world's largest urban World Heritage Site, cradling half the city (18 sq km) in its Unesco-listed treasure chest. From the elegant symmetry of place de la Bourse, palaces strung with stone-sculpted mascarons (faces), to tree-shaded boulevards laced with hôtels particuliers (mansions) built for 18th-century wine merchants, Bordeaux architecture is world-class. Contemporary architects continue the trend for excellence, with breathtakingly wild and beautiful creations resembling giant wine decanters, gleaming white pebbles, all sorts. An interesting portfolio of art museums embracing all periods and genres is the icing on the cake to this magnificent architectural heritage.\n\nRiverside Riches\n\nStriding through Bordeaux on its leggy route north past traditional wine-producing chateaux to the Atlantic Ocean, the River Garonne is never far away. From this Gallo-Roman city's golden past as medieval wine trader and key port in Europe during the Age of Enlightenment, to the prestigious vineyards and vibrant quayside culture the river fuels today, the Garonne has been the city's lifeline since birth. Be it strolling, jogging or cycling along the silky-smooth water's edge in a loop from Left to Right Bank, lounging over drinks on a riverside terrace or cruising along the water, Bordeaux's riverside riches merit your full attention.\n\nGastronomy & Fine Wine\n\nThis is a wine capital hemmed in by green, sun-drenched vineyards. Viticulture here is an ancient art and tradition bearing its own unique trademarks and no other vineyards in the world produce as much fine wine. Best up, from celebrated premiers crus aged for years to the very first vin nouveau cracked open at festivals after the autumnal harvest, dégustation (tasting) is an intrinsic part of daily life. Paired with the city's exceptional dining scene – a sassy mix of traditional French kitchens, experimental neobistros, creative fusion restaurants, food trucks and barista-run coffee shops – there is no tastier marriage. Santé!\n\nBordelais Art de Vivre\n\nIt's hard to believe that this was a city that fell under British rule for three hundred years (from the coronation of Henry of Aquitaine as King Henry II of England in 1152). Staunchly Bordelais to the last breath, Bordeaux enjoys an overwhelming sense of local pride and savoir faire. Innovation is her middle name and a high-spirited, university-student population bolsters the compelling undercurrent of creativity rippling through the city. Peppering a tramline with monumental pieces of contemporary art, partying in a WWII submarine bunker, and dancing on a barge at the industrial wet docks is all second nature to this natural bon vivant.","https://www.lonelyplanet.com/france/southwestern-france/bordeaux"
"Toulouse","Ochre rooftops and blushing brick churches earned Toulouse the nickname ‘La Ville Rose’ (The Pink City). Its enchanting Vieux Quartier (Old Quarter) is a dreamy jumble of coral-coloured shopfronts and churches. Beyond the old town, Toulouse sprawls into France’s fourth-largest metropolis. It’s an animated, hectic place, but Toulouse – nestled between a bend in the Garonne River and the mighty Canal du Midi – is invigorated by its waterways.\n\nToulouse has one of the largest universities outside Paris: at its core this southwestern French city is home to students and scientists. French aeronautical history continues in the Airbus factory outside town. But Toulouse knows how to have a good time, whether in teeming food markets, salons de thé or the thick of its smouldering jazz, techno and rock scenes. From the tips of dusky pink spires to its loudest bars, time spent in Toulouse truly has a rose-tinted sheen.","https://www.lonelyplanet.com/france/toulouse"
"Strasbourg","Strasbourg is the perfect overture to all that is idiosyncratic about Alsace – walking a fine tightrope between France and Germany and between a medieval past and a progressive future, it pulls off its act in inimitable Alsatian style.\n\nTear your gaze away from that mesmerising Gothic cathedral for just a minute and you’ll be roaming the old town’s twisting alleys lined with crooked half-timbered houses à la Grimm; feasting in the cosiest of winstubs (Alsatian taverns) by the canals in Petite France; and marvelling at how a city that does Christmas markets and gingerbread so well can also be home to the glittering EU Quarter and France’s second-largest student population. But that’s Strasbourg for you: all the sweeter for its contradictions and cross-cultural quirks.","https://www.lonelyplanet.com/france/alsace-and-lorraine/strasbourg"
"Montpellier","Graceful and easy-going, Montpellier is a stylish metropolis with elegant buildings, grand hôtels particuliers (private mansions), stately boulevards and shady backstreets, and gorgeous white-sand beaches on its doorstep.\n\nUnlike many southern towns, Montpellier has no Roman heritage. It was founded in the 10th century by the counts of Toulouse and later became a prosperous trading port as well as a scholarly centre – Europe’s first medical school was established here in the 12th century.\n\nThe population swelled in the 1960s when many French settlers left independent Algeria and relocated here, and it’s now France's fastest-growing city and one of its most multicultural. Students make up over a third of the population, giving it a spirited vibe.","https://www.lonelyplanet.com/france/languedoc-roussillon/montpellier"
"Lille","Capital of the Hauts-de-France région, Lille may be France's most underrated metropolis. Recent decades have seen the country's fourth-largest city (by greater urban area) transform from an industrial centre into a glittering cultural and commercial hub. Highlights include its enchanting old town with magnificent French and Flemish architecture, renowned art museums, stylish shopping, outstanding cuisine, a nightlife scene bolstered by 67,000 university students, and some 1600 designers in its environs.\n\nIn 2020, Lille will become the World Design Capital (the first French city to do so), with design agencies and other creative enterprises opening their doors to the public, and exhibitions and festivities throughout the year.\n\nThanks to the Eurostar and the TGV, Lille makes an easy, environmentally sustainable weekend destination from London, Paris, Brussels and beyond.","https://www.lonelyplanet.com/france/northern-france/lille"
"Nantes","You can take Nantes out of Brittany (as when regional boundaries were redrawn during WWII), but you can't take Brittany out of its long-time capital, Nantes (Naoned in Breton).\n\nSpirited and innovative, this artsy city on the banks of the Loire has a history of reinventing itself. It was founded by Celts around 70 BC and in AD 937 it joined the duchy of Brittany. The Edict of Nantes, a landmark royal charter guaranteeing civil rights to France's Huguenots (Protestants), was signed in Nantes by Henri IV in 1598.\n\nBy the 18th century Nantes was France's foremost port, and in the 19th century – following the abolition of slavery – it became an industrial centre; the world's first public transport service, the omnibus, began here in 1826. Shipbuilding anchored the city's economy until the late 20th century and when the shipyards relocated westwards to St-Nazaire, Nantes transformed itself into a thriving student and cultural hub.","https://www.lonelyplanet.com/france/southwestern-france/nantes"
"Udon Thani","Udon Thani, or Udon for short, is an important regional hub that connects northeastern Thailand with the rest of the country as well as neighbouring Laos. Once a far-flung, sleepy provincial town, Udon sprang into action when the Thai and US governments built a joint-force military base there during the Vietnam War, bringing a large influx of GIs and Vietnamese immigrants to the city, thus creating a multi-culturally diverse base which lasts until today.\n\nBesides its military past, Udon is home to one of the world’s earliest bronze-age civilizations, at Ban Chiang. Archaeological evidence – earthenware pottery and bronze fragments – unearthed here suggest that the prehistoric settlements existed between 2100BC and 200AD. Other ancient structures and artifacts are also found inside Phu Phra Baht Historical Park. Here, rising amidst a vast sandstone mountain are peculiar rock formations, as well as dinosaur foot prints, cave paintings and Buddhist structures.\n\nUdon is approximately 560km from Bangkok. The urban centre, Udon City, is home to a large concentration of expats, some of whom settled down here after the war. Udon’s dining and nightlife scene is, therefore, culturally diverse and offers good choices.","http://www.thailand-guide.com/udon-thani/"
"Bangkok","Bangkok welcomes more visitors than any other city in the world and it doesnt take long to realise why. Bangkok is a city of contrasts with action at every turn. Marvel at the gleaming temples, catch a tuk tuk through bustling Chinatown or take a longtail boat through floating markets. Food is another Bangkok highlight, from local dishes served at humble street stalls to haute cuisine at romantic rooftop restaurants.\n\nLuxury malls compete with a sea of boutiques and markets, where you can treat yourself without overspending. Extravagant luxury hotels and surprisingly cheap serviced apartments welcome you with the same famed Thai hospitality. And no visit to Bangkok would be complete without a glimpse of its famous nightlife. Be it nightclubs, cabarets or exotic red-light districts, Bangkok never ceases to amaze.","https://www.hoteis.com/go/thailand/bangkok?pos=HCOM_BR&locale=pt_BR"
